date,1. open,2. high,3. low,4. close,5. volume
2024-09-24 19:31:00,571.34,571.35,571.33,571.35,1363.0
2024-09-24 19:30:00,571.34,571.35,571.34,571.3405,106.0
2024-09-24 19:29:00,571.36,571.36,571.34,571.34,58.0
2024-09-24 19:28:00,571.345,571.365,571.345,571.35,11.0
2024-09-24 19:27:00,571.335,571.35,571.335,571.345,161.0
2024-09-24 19:26:00,571.35,571.35,571.33,571.335,60.0
2024-09-24 19:25:00,571.355,571.37,571.335,571.335,6.0
2024-09-24 19:24:00,571.3017,571.37,571.3017,571.335,194.0
2024-09-24 19:23:00,571.37,571.37,571.325,571.325,72.0
2024-09-24 19:22:00,571.365,571.38,571.36,571.365,100.0
2024-09-24 19:21:00,571.37,571.39,571.365,571.365,61.0
2024-09-24 19:20:00,571.36,571.39,571.34,571.37,228.0
2024-09-24 19:19:00,571.375,571.39,571.34,571.36,119.0
2024-09-24 19:18:00,571.37,571.39,571.37,571.39,622.0
2024-09-24 19:17:00,571.38,571.38,571.36,571.365,23.0
2024-09-24 19:16:00,571.38,571.38,571.345,571.345,83.0
2024-09-24 19:15:00,571.365,571.38,571.34,571.355,132.0
2024-09-24 19:14:00,571.335,571.36,571.335,571.36,12.0
2024-09-24 19:13:00,571.38,571.38,571.3106,571.335,199.0
2024-09-24 19:12:00,571.34,571.38,571.33,571.355,227.0
2024-09-24 19:11:00,571.345,571.39,571.31,571.34,169.0
2024-09-24 19:10:00,571.355,571.39,571.34,571.39,94.0
2024-09-24 19:09:00,571.305,571.36,571.28,571.36,237.0
2024-09-24 19:08:00,571.3,571.33,571.3,571.305,664.0
2024-09-24 19:07:00,571.29,571.3,571.26,571.3,571.0
2024-09-24 19:06:00,571.28,571.29,571.26,571.29,16.0
2024-09-24 19:05:00,571.26,571.28,571.25,571.26,73.0
2024-09-24 19:04:00,571.275,571.29,571.27,571.275,17.0
2024-09-24 19:03:00,571.285,571.3,571.26,571.27,70.0
2024-09-24 19:02:00,571.27,571.285,571.2601,571.285,33.0
2024-09-24 19:01:00,571.285,571.3087,571.26,571.285,10.0
2024-09-24 19:00:00,571.28,571.29,571.25,571.285,161.0
2024-09-24 18:59:00,571.25,571.2987,571.25,571.275,18.0
2024-09-24 18:58:00,571.2201,571.27,571.2201,571.27,98.0
2024-09-24 18:57:00,571.245,571.27,571.245,571.245,93.0
2024-09-24 18:56:00,571.265,571.32,571.24,571.24,149.0
2024-09-24 18:55:00,571.28,571.32,571.25,571.32,283.0
2024-09-24 18:54:00,571.27,571.27,571.23,571.26,12.0
2024-09-24 18:53:00,571.245,571.27,571.23,571.255,15.0
2024-09-24 18:52:00,571.235,571.27,571.22,571.245,106.0
2024-09-24 18:51:00,571.235,571.26,571.235,571.26,387.0
2024-09-24 18:50:00,571.24,571.3,571.22,571.3,211.0
2024-09-24 18:49:00,571.22,571.24,571.2,571.24,121.0
2024-09-24 18:48:00,571.215,571.24,571.19,571.215,263.0
2024-09-24 18:47:00,571.235,571.27,571.21,571.22,28.0
2024-09-24 18:46:00,571.24,571.26,571.191,571.215,397.0
2024-09-24 18:45:00,571.25,571.27,571.25,571.27,757.0
2024-09-24 18:44:00,571.225,571.225,571.215,571.215,6.0
2024-09-24 18:43:00,571.16,571.225,571.14,571.225,409.0
2024-09-24 18:42:00,571.15,571.2,571.14,571.1406,723.0
2024-09-24 18:41:00,571.16,571.16,571.15,571.16,141.0
2024-09-24 18:40:00,571.15,571.16,571.14,571.15,17.0
2024-09-24 18:39:00,571.135,571.16,571.135,571.16,189.0
2024-09-24 18:38:00,571.135,571.14,571.13,571.135,21.0
2024-09-24 18:37:00,571.165,571.17,571.13,571.14,223.0
2024-09-24 18:36:00,571.18,571.18,571.15,571.17,2146.0
2024-09-24 18:35:00,571.18,571.18,571.15,571.17,3376.0
2024-09-24 18:34:00,571.14,571.18,571.14,571.155,68.0
2024-09-24 18:33:00,571.18,571.18,571.15,571.155,392.0
2024-09-24 18:32:00,571.16,571.17,571.11,571.15,351.0
2024-09-24 18:31:00,571.135,571.16,571.11,571.11,63.0
2024-09-24 18:30:00,571.3,571.3,571.08,571.11,2178909.0
2024-09-24 18:29:00,571.24,571.24,571.18,571.19,1942.0
2024-09-24 18:28:00,571.255,571.29,571.22,571.24,29.0
2024-09-24 18:27:00,571.25,571.29,571.25,571.255,128.0
2024-09-24 18:26:00,571.235,571.29,571.22,571.25,373.0
2024-09-24 18:25:00,571.25,571.29,571.25,571.255,7.0
2024-09-24 18:24:00,571.25,571.25,571.21,571.24,251.0
2024-09-24 18:23:00,571.25,571.26,571.23,571.235,159.0
2024-09-24 18:22:00,571.3,571.3,571.245,571.25,98.0
2024-09-24 18:21:00,571.24,571.29,571.23,571.25,120.0
